IP;DNS
10.0.64.3;st0801.print.sanita.padova.it
10.0.64.12;st0771.print.sanita.padova.it
10.0.64.14;st0770.print.sanita.padova.it
10.0.64.21;st0800.print.sanita.padova.it
10.0.64.49;st0769.print.sanita.padova.it
10.0.64.54;st0767.print.sanita.padova.it
10.0.64.58;st0766.print.sanita.padova.it
10.0.64.89;st0804.print.sanita.padova.it
10.0.64.225;st0764.print.sanita.padova.it
10.0.65.12;st0809.print.sanita.padova.it
10.0.65.238;st0810.print.sanita.padova.it
10.0.66.2;st0389.print.sanita.padova.it
10.0.66.30;st0813.print.sanita.padova.it
10.0.66.147;st0811.print.sanita.padova.it
10.0.66.206;st0812.print.sanita.padova.it
10.0.68.1;st0759.print.sanita.padova.it
10.0.68.11;st0814.print.sanita.padova.it
10.0.68.21;st0758.print.sanita.padova.it
10.0.68.23;st0757.print.sanita.padova.it
10.0.68.27;st0756.print.sanita.padova.it
10.0.68.209;st0755.print.sanita.padova.it
10.0.68.210;st0753.print.sanita.padova.it
10.0.69.12;st0753.print.sanita.padova.it
10.0.69.15;st0752.print.sanita.padova.it
10.0.69.23;st0751.print.sanita.padova.it
10.0.69.24;st0818.print.sanita.padova.it
10.0.69.85;st0818.print.sanita.padova.it
10.0.69.93;st0749.print.sanita.padova.it
10.0.69.187;st0747.print.sanita.padova.it
10.0.71.16;st0745.print.sanita.padova.it
10.0.72.1;st0746.print.sanita.padova.it
10.0.72.9;st0742.print.sanita.padova.it
10.0.72.51;st0743.print.sanita.padova.it
10.0.72.62;st0800.print.sanita.padova.it
10.0.73.7;st0828.print.sanita.padova.it
10.0.73.8;st0829.print.sanita.padova.it
10.0.73.21;st0827.print.sanita.padova.it
10.0.73.46;st0826.print.sanita.padova.it
10.0.73.142;st0804.print.sanita.padova.it
10.0.73.148;st0825.print.sanita.padova.it
10.0.73.151;st0806.print.sanita.padova.it
10.0.74.6;st0832.print.sanita.padova.it
10.0.74.12;st0832.print.sanita.padova.it
10.0.74.14;st0839.print.sanita.padova.it
10.0.74.22;st0833.print.sanita.padova.it
10.0.74.31;st0830.print.sanita.padova.it
10.0.74.36;st0836.print.sanita.padova.it
10.0.74.56;st0837.print.sanita.padova.it
10.0.74.150;st0835.print.sanita.padova.it
10.0.78.9;st0844.print.sanita.padova.it
10.0.78.20;st0840.print.sanita.padova.it
10.0.78.30;st0846.print.sanita.padova.it
10.0.78.42;st0845.print.sanita.padova.it
10.0.78.47;st0842.print.sanita.padova.it
10.0.78.50;st0843.print.sanita.padova.it
10.0.82.15;st0796.print.sanita.padova.it
10.0.82.22;st0794.print.sanita.padova.it
